,placeId,0,1,3,4,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,placeLatitude,placeLongitude
10,188500e451165649,,,,,,,,,,"{'#sherlock': 1, '#2014': 1, '#winterclassic': 2, '#justloveit': 1, '#newyearrocks': 90}","{'#sherlock': 1, '#2014': 1, '#sherlocklives': 1, '#newyearrocks': 48}","{'#justloveit': 1, '#newyearrocks': 68}","{'#2014': 1, '#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 74}","{'#winterclassic': 2, '#newyearrocks': 99, '#justloveit': 2, '#amazing': 1}","{'#winterclassic': 2, '#nhl': 1, '#sherlocklives': 1, '#newyearrocks': 43}","{'#seaofblue': 1, '#newyearrocks': 11}",,{'#justloveit': 1},,46.9152,7.013
11,1a82c33b2a4f94d8,,,{'#happynewyear': 1},,,,,,,,,,,,,,,,,46.3812,6.2394300000000005
12,1be4d587b0b58282,,,,,,,,,,"{'#awesome': 2, '#happynewyear': 1, '#sherlocklives': 1, '#newyearrocks': 88}","{'#2014': 1, '#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 45}","{'#awesome': 2, '#winterclassic': 2, '#sherlocklives': 1, '#newyearrocks': 61}","{'#happynewyear': 1, '#winterclassic': 2, '#2014': 1, '#hgtvnewyear': 1, '#newyearrocks': 58}","{'#2014': 1, '#winterclassic': 2, '#nhl': 1, '#newyearrocks': 90}","{'#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 52}","{'#newyearrocks': 21, '#nhl': 1, '#winterclassic': 1}",,,{'#justloveit': 1},46.6274,7.13517
13,203ef641b81380cf,,,,,,,,,,"{'#awesome': 2, '#hgtvnewyear': 1, '#nhl': 1, '#newyearrocks': 93, '#2014': 1, '#winterclassic': 2, '#sherlocklives': 2}","{'#awesome': 1, '#happynewyear': 1, '#newyearrocks': 50}","{'#awesome': 1, '#sherlock': 1, '#newyearrocks': 77, '#happynewyear': 1, '#2014': 2, '#justloveit': 1}","{'#winterclassic': 1, '#hgtvnewyear': 1, '#newyearrocks': 53}","{'#awesome': 3, '#sherlock': 2, '#hgtvnewyear': 1, '#winterclassic': 3, '#2014': 1, '#newyearrocks': 80, '#nhl': 2}","{'#sherlock': 1, '#seaofblue': 1, '#sherlocklives': 1, '#newyearrocks': 49}",{'#newyearrocks': 25},{'#justloveit': 1},,,47.4635,9.371780000000001
14,219161f01e164eeb,,,,,,,,,,"{'#sherlock': 2, '#newyearrocks': 107, '#nhl': 2, '#winterclassic': 4, '#justloveit': 1, '#sherlocklives': 1}","{'#awesome': 2, '#sherlock': 2, '#amazing': 1, '#winterclassic': 2, '#newyearrocks': 96}","{'#happynewyear': 2, '#newyearrocks': 78, '#hgtvnewyear': 1, '#winterclassic': 2, '#amazing': 1}","{'#awesome': 2, '#sherlock': 2, '#amazing': 1, '#newyearrocks': 100, '#winterclassic': 5, '#nhl': 2}","{'#awesome': 1, '#winterclassic': 3, '#newyearrocks': 129, '#sherlocklives': 1, '#amazing': 1}","{'#sherlock': 2, '#2014': 1, '#nhl': 1, '#newyearrocks': 62}","{'#sherlock': 1, '#newyearrocks': 21, '#winterclassic': 1, '#2014': 1, '#justloveit': 2, '#sherlocklives': 1}",,,{'#justloveit': 1},47.2372,7.07976
15,224e134f6f590748,,,,,,,,,,"{'#2014': 1, '#newyearrocks': 105, '#nhl': 1, '#sherlocklives': 1, '#winterclassic': 1}","{'#winterclassic': 5, '#newyearrocks': 88}","{'#sherlock': 1, '#newyearrocks': 69, '#happynewyear': 2, '#winterclassic': 1, '#2014': 1, '#justloveit': 1, '#sherlocklives': 1}","{'#happynewyear': 2, '#sherlock': 1, '#2014': 1, '#winterclassic': 3, '#newyearrocks': 82}","{'#awesome': 1, '#sherlock': 1, '#hgtvnewyear': 1, '#newyearrocks': 112, '#happynewyear': 1, '#winterclassic': 1, '#2014': 1, '#amazing': 2, '#seaofblue': 1}","{'#winterclassic': 3, '#2014': 1, '#newyearrocks': 63, '#seaofblue': 2, '#amazing': 1}","{'#happynewyear': 1, '#sherlock': 1, '#newyearrocks': 28, '#winterclassic': 1}",{'#justloveit': 1},{'#justloveit': 1},,47.7165,8.784460000000001
16,24ad70963ece8c73,,,,,,,,,,,,,{'#2014': 1},,,,,,,46.3457,10.2248
17,29fae76be59ee0d8,,,,,,,,,{'#justloveit': 2},{'#newyearrocks': 2},,,,,,,,,,47.394,7.963769999999999
18,2b7eb2f13dece5be,,,,,,,,,,"{'#awesome': 1, '#sherlock': 2, '#hgtvnewyear': 1, '#justloveit': 2, '#newyearrocks': 91, '#happynewyear': 1, '#winterclassic': 4, '#sherlocklives': 1}","{'#sherlock': 2, '#winterclassic': 1, '#sherlocklives': 1, '#nhl': 1, '#newyearrocks': 65}","{'#nhl': 1, '#newyearrocks': 61}","{'#awesome': 2, '#winterclassic': 1, '#nhl': 1, '#newyearrocks': 55}","{'#awesome': 1, '#sherlock': 1, '#seaofblue': 1, '#newyearrocks': 84, '#2014': 2, '#winterclassic': 2, '#sherlocklives': 1}","{'#awesome': 1, '#happynewyear': 1, '#2014': 1, '#newyearrocks': 42}","{'#newyearrocks': 25, '#amazing': 1}",,,,47.306999999999995,9.95645
19,2ca2be335d5b9641,,,,,,,,,,"{'#winterclassic': 2, '#amazing': 1, '#newyearrocks': 86}","{'#sherlock': 1, '#newyearrocks': 55, '#nhl': 1, '#winterclassic': 4}","{'#sherlock': 1, '#seaofblue': 1, '#justloveit': 1, '#winterclassic': 2, '#2014': 1, '#newyearrocks': 74, '#sherlocklives': 2}","{'#winterclassic': 1, '#newyearrocks': 51}","{'#2014': 1, '#justloveit': 1, '#newyearrocks': 81}","{'#winterclassic': 2, '#newyearrocks': 44}","{'#newyearrocks': 16, '#amazing': 1}",,,{'#justloveit': 1},47.418,7.88775
