date,1,2,3,4,5
2015-06-24,"('1revccm', 283926.55421775213)","('nálepka', 35584.569431024596)","('etiket', 34355.551395221606)","('tarra', 34355.551395221606)","('налепка', 34355.551395221606)"
2015-06-25,"('socializech', 15304.305210486205)","('temptationisland', 11638.568385861108)","('hrc29', 2562.7981224632172)","('annecy', 108.84278794740796)","('switzerland', 48.836522555137421)"
2015-06-26,"('lovewins', 15174385.747685349)","('allfra', 469924.82570013346)","('choicemusicgroupfemale', 43433.371694425165)","('quiz', 40166.017940924416)","('fraall', 2947.2296705793583)"
2015-06-27,"('efsummit', 764546.28003382101)","('dalailama', 107043.30813553606)","('quiz', 61869.173023227886)","('lovewins', 25158.186916728395)","('freedomforeastturkestan', 6320.25)"
2015-06-28,"('hollywoodchoice', 305948.50574038597)","('efsummit', 53834.726200716723)","('freedomflotilla', 23562.25)","('quiz', 22683.889538762854)","('cocacolasummerfestival', 21352.724850715946)"
2015-06-29,"('skytennis', 591650.1329454931)","('ccpr', 402310.74072321056)","('hollywoodchoice', 118317.41784536936)","('bestfandom', 32870.530676052462)","('wimbledon', 30034.99236948607)"
2015-06-30,"('sccr30', 112531.53304435273)","('ccpr', 66878.341968815963)","('htsd15', 63001.566109634085)","('skytennis', 62758.710272034441)","('quiz', 27918.601465021984)"
2015-07-01,"('unhcrngos', 35410.668626224739)","('opendatach', 30225.190212119051)","('sccr30', 28088.286107211745)","('quiz', 19101.88856587901)","('noe2015', 16994.903295300293)"
2015-07-02,"('cheyennemusicvideo', 3266136.9499422461)","('mena', 274413.06125045702)","('esistendo', 217706.66007865133)","('unhcrngos', 56011.315822104603)","('wimbledon', 9048.7788090849208)"
2015-07-03,"('jackandjacktoswitzerland', 89473380.890264452)","('fanfrench', 5919287.6808735123)","('idmvisitsun', 131773.34566281701)","('statelessness', 74827.630710049823)","('sccr30', 35732.020869439468)"
2015-07-04,"('1yearwwatbern', 1419000.4543695685)","('eurocks2015', 112088.0177893153)","('4thofjuly', 40835.895478291561)","('quiz', 12634.162574384305)","('hiring', 2898.743937085118)"
2015-07-05,"('grefenderum', 1340110.7701845176)","('greekreferendum', 266566.74931064149)","('oxi', 156646.91748041892)","('fanfrench', 35849.895781045678)","('greferendum', 27882.529658314539)"
2015-07-06,"('dont', 331170.15183328302)","('tdf2015', 24170.907237725303)","('quiz', 4540.0509694319126)","('eurocks2015', 3764.081041161241)","('hiring', 3609.1982703633357)"
2015-07-07,"('futurefrenchcuisine', 140432.91914623836)","('traumhaft', 18922.500156516624)","('temptationisland', 4521.7262895049635)","('fanfrench', 4082.6404454484191)","('welcome', 2375.2955113912967)"
2015-07-08,"('quiz', 13531.017062895853)","('tdf2015', 9944.0485022753874)","('hiring', 1655.3044602720815)","('chilhavisto', 1030.3694271588183)","('travel', 189.98105097435823)"
