date,place_value,placeLatitude,placeLongitude,topic,chi_squared
2015-07-22,13.0,46.3812,6.2394300000000005,1dbalkanpeninsulaproject,256153.74935674996
2015-07-23,42.0,46.2048,6.14319,thankyou1dfor,987530.0745990333
2015-07-24,179.0,46.2048,6.14319,schlefaz,31702.201340562733
2015-07-25,12.0,46.2048,6.14319,apositvemessage,143710.37898246452
2015-07-26,10.0,46.9543,7.39491,mtvhottest,92394.42274322134
2015-07-27,64.0,47.3896,6.57153,8millstrongonvinecam,22650.25
2015-07-28,32.0,45.9977,8.80628,1ansaltimbanque,643212.8977830373
2015-07-29,131.0,47.3896,6.57153,windows10,22016.751178513277
2015-07-30,107.0,45.8579,9.42603,choiceyoutuber,519884.49460008123
2015-07-31,34.0,46.9543,7.39491,harmonizers,920955.1890808534
2015-08-01,9.0,47.3774,8.536760000000001,swissnationalday,73833.02959673404
2015-08-02,139.0,46.3629,9.02334,concoursseriesupdatesfrxroyal,530591.8571435445
2015-08-03,43.0,47.0408,8.317210000000001,sheskindahotmusicvideo,285707.4731056445
2015-08-04,61.0,45.8579,9.42603,teaminsomnia,15404.618903751292
2015-08-05,113.0,46.2048,6.14319,choicewebstarmale,10860364.50622434
2015-08-06,327.0,45.8579,9.42603,aaronsnewvideo,706407.5493019547
2015-08-07,55.0,45.8579,9.42603,bridgesoflove,3013987.3435794837
2015-08-08,6.0,45.9846,9.910630000000001,grazieemi3annidinoikillers,544789.9728612611
2015-08-09,29.0,47.81,8.322610000000001,zagloul,61686.62241937616
2015-08-10,10.0,47.3774,8.536760000000001,locarno68,4267.274513109035
2015-08-11,100.0,45.8,6.56618,facetoface,233355.97473200576
2015-08-12,5.0,45.8056,8.94102,couperogers,19333.266732835164
2015-08-13,86.0,45.7567,9.85388,camforwebstar,141308.33833168214
2015-08-14,14.0,47.3774,8.536760000000001,acm2015,84762.03912073601
2015-08-15,10.0,47.2008,8.770010000000001,barcampch,97141.9385130714
2015-08-16,46.0,47.3672,8.22686,coupedesuisse,50963.49018296965
2015-08-17,19.0,47.0442,9.88751,teenchoiceawards,55332.52295186574
2015-08-18,86.0,45.83,6.25764,nonapritequellaporta,352052.52081503504
2015-08-19,37.0,45.9591,8.69356,taylorto2million,7709837.489518216
2015-08-20,15.0,47.7085,7.39815,omkbern,2957017.1950310776
2015-08-21,14.0,47.4582,8.58877,ss9,2539571.6210034955
2015-08-22,234.0,46.8131,8.22414,getshawntoswitzerland,244280.4914364034
2015-08-23,129.0,46.8131,8.22414,getshawntoswitzerland,35668.97658886799
2015-08-24,23.0,47.0442,9.88751,psyunanghalik,510893.58801632404
2015-08-25,22.0,47.3774,8.536760000000001,psysilana,3840815.742684641
2015-08-26,53.0,46.2048,6.14319,holaatodos,647838.925071449
2015-08-27,21.0,45.9844,6.5971,swissfintechpitch,1845545.1147577919
